_year	_age	sex	prob
1958	0	1	.981692
1958	1	1	.998677
1958	2	1	.998994
1958	3	1	.999069
1958	4	1	.999154
1958	5	1	.999172
1958	6	1	.999243
1958	7	1	.999595
1958	8	1	.999663
1958	9	1	.999547
1958	10	1	.999544
1958	11	1	.999632
1958	12	1	.999549
1958	13	1	.99964
1958	14	1	.999581
1958	15	1	.999414
1958	16	1	.998975
1958	17	1	.998919
1958	18	1	.999092
1958	19	1	.998605
1958	20	1	.999116
1958	21	1	.998869
1958	22	1	.998956
1958	23	1	.998931
1958	24	1	.998872
1958	25	1	.999032
1958	26	1	.998765
1958	27	1	.99894
1958	28	1	.998883
1958	29	1	.998731
1958	30	1	.998712
1958	31	1	.998564
1958	32	1	.998957
1958	33	1	.998638
1958	34	1	.998444
1958	35	1	.998682
1958	36	1	.998083
1958	37	1	.998432
1958	38	1	.998097
1958	39	1	.997685
1958	40	1	.998222
1958	41	1	.997722
1958	42	1	.997478
1958	43	1	.997237
1958	44	1	.997046
1958	45	1	.997094
1958	46	1	.996721
1958	47	1	.996657
1958	48	1	.995485
1958	49	1	.995415
1958	50	1	.994595
1958	51	1	.99439
1958	52	1	.993419
1958	53	1	.993023
1958	54	1	.99277
1958	55	1	.991727
1958	56	1	.99057
1958	57	1	.988158
1958	58	1	.988738
1958	59	1	.987456
1958	60	1	.984393
1958	61	1	.983728
1958	62	1	.982655
1958	63	1	.979742
1958	64	1	.978484
1958	65	1	.976659
1958	66	1	.972879
1958	67	1	.970139
1958	68	1	.967401
1958	69	1	.962563
1958	70	1	.958701
1958	71	1	.957788
1958	72	1	.950629
1958	73	1	.948474
1958	74	1	.941833
1958	75	1	.933971
1958	76	1	.92757
1958	77	1	.919047
1958	78	1	.912006
1958	79	1	.90472
1958	80	1	.892373
1958	81	1	.876218
1958	82	1	.855834
1958	83	1	.857559
1958	84	1	.838869
1958	85	1	.826253
1958	86	1	.791804
1958	87	1	.754982
1958	88	1	.751374
1958	89	1	.748925
1958	90	1	.707341
1958	91	1	.658259
1958	92	1	.67092
1958	93	1	.597926
1958	94	1	.581807
1958	95	1	.535881
1958	96	1	.589825
1958	97	1	.541667
1958	98	1	.637736
1958	99	1	.384615
1958	100	1	.4
1958	101	1	.692308
1958	102	1	.684211
1958	103	1	0
1958	104	1	0
1958	105	1	0
1958	106	1	0
1958	107	1	0
1958	108	1	0
1958	109	1	0
1958	110	1	0
1958	0	2	.986477
1958	1	2	.99854
1958	2	2	.999396
1958	3	2	.999252
1958	4	2	.999611
1958	5	2	.999599
1958	6	2	.999695
1958	7	2	.999738
1958	8	2	.999733
1958	9	2	.999628
1958	10	2	.999787
1958	11	2	.999662
1958	12	2	.999588
1958	13	2	.999763
1958	14	2	.999611
1958	15	2	.99967
1958	16	2	.99942
1958	17	2	.999622
1958	18	2	.999555
1958	19	2	.999595
1958	20	2	.999667
1958	21	2	.999499
1958	22	2	.999602
1958	23	2	.999521
1958	24	2	.999615
1958	25	2	.999461
1958	26	2	.999319
1958	27	2	.999423
1958	28	2	.999383
1958	29	2	.99937
1958	30	2	.999445
1958	31	2	.999326
1958	32	2	.999044
1958	33	2	.999151
1958	34	2	.999112
1958	35	2	.998941
1958	36	2	.998901
1958	37	2	.998723
1958	38	2	.998303
1958	39	2	.998641
1958	40	2	.998368
1958	41	2	.998064
1958	42	2	.998193
1958	43	2	.997947
1958	44	2	.997649
1958	45	2	.997719
1958	46	2	.996965
1958	47	2	.997139
1958	48	2	.996504
1958	49	2	.996242
1958	50	2	.995993
1958	51	2	.99553
1958	52	2	.995098
1958	53	2	.994879
1958	54	2	.995265
1958	55	2	.994088
1958	56	2	.992975
1958	57	2	.993084
1958	58	2	.992089
1958	59	2	.990841
1958	60	2	.990373
1958	61	2	.988309
1958	62	2	.988289
1958	63	2	.986688
1958	64	2	.984823
1958	65	2	.98413
1958	66	2	.981819
1958	67	2	.977897
1958	68	2	.9742
1958	69	2	.974098
1958	70	2	.96869
1958	71	2	.967151
1958	72	2	.963453
1958	73	2	.955997
1958	74	2	.949306
1958	75	2	.945965
1958	76	2	.938828
1958	77	2	.928982
1958	78	2	.921407
1958	79	2	.91374
1958	80	2	.894905
1958	81	2	.893929
1958	82	2	.876393
1958	83	2	.867695
1958	84	2	.849138
1958	85	2	.836653
1958	86	2	.815511
1958	87	2	.800419
1958	88	2	.773998
1958	89	2	.770467
1958	90	2	.731782
1958	91	2	.728631
1958	92	2	.693042
1958	93	2	.684366
1958	94	2	.620172
1958	95	2	.616883
1958	96	2	.559351
1958	97	2	.505065
1958	98	2	.489691
1958	99	2	.487179
1958	100	2	.404959
1958	101	2	.475
1958	102	2	.387755
1958	103	2	.357143
1958	104	2	.7
1958	105	2	0
1958	106	2	0
1958	107	2	0
1958	108	2	0
1958	109	2	0
1958	110	2	0
1959	0	1	.980557
1959	1	1	.998622
1959	2	1	.999008
1959	3	1	.999086
1959	4	1	.999293
1959	5	1	.999338
1959	6	1	.999388
1959	7	1	.999459
1959	8	1	.999471
1959	9	1	.999478
1959	10	1	.999499
